Action,User_BS_1,User_BS_2
0,14.0,36.0
0,14.0,36.0
0,11.0,39.0
0,13.0,37.0
0,10.0,40.0
0,14.0,36.0
0,13.0,37.0
0,14.0,36.0
0,11.0,39.0
0,13.0,37.0
0,19.0,31.0
0,11.0,39.0
0,17.0,33.0
0,23.0,27.0
0,10.0,40.0
0,11.0,39.0
0,13.0,37.0
0,14.0,36.0
0,14.0,36.0
0,13.0,37.0
0,13.0,37.0
0,16.0,34.0
0,13.0,37.0
0,9.0,41.0
0,10.0,40.0
0,13.0,37.0
0,8.0,42.0
0,15.0,35.0
0,19.0,31.0
0,12.0,38.0
0,11.0,39.0
0,12.0,38.0
0,13.0,37.0
0,11.0,39.0
0,14.0,36.0
0,10.0,40.0
0,10.0,40.0
0,20.0,30.0
0,16.0,34.0
0,10.0,40.0
0,11.0,39.0
0,15.0,35.0
0,13.0,37.0
0,6.0,44.0
0,17.0,33.0
0,14.0,36.0
0,17.0,33.0
0,13.0,37.0
0,12.0,38.0
0,7.0,43.0
0,9.0,41.0
0,10.0,40.0
0,11.0,39.0
0,13.0,37.0
0,9.0,41.0
0,14.0,36.0
0,8.0,42.0
0,13.0,37.0
0,16.0,34.0
0,10.0,40.0
0,11.0,39.0
0,7.0,43.0
0,15.0,35.0
0,11.0,39.0
0,13.0,37.0
0,16.0,34.0
0,10.0,40.0
0,17.0,33.0
0,15.0,35.0
0,9.0,41.0
0,11.0,39.0
0,13.0,37.0
0,12.0,38.0
0,11.0,39.0
0,9.0,41.0
0,18.0,32.0
0,14.0,36.0
0,14.0,36.0
0,11.0,39.0
0,16.0,34.0
0,12.0,38.0
0,17.0,33.0
0,13.0,37.0
0,10.0,40.0
0,12.0,38.0
0,12.0,38.0
0,15.0,35.0
0,14.0,36.0
0,12.0,38.0
0,11.0,39.0
0,15.0,35.0
0,15.0,35.0
0,13.0,37.0
0,12.0,38.0
0,11.0,39.0
0,10.0,40.0
0,13.0,37.0
0,18.0,32.0
0,6.0,44.0
0,16.0,34.0
