Thread ID,Epoch,Step,Reward
0,0,1,[-10.23293911 -10.27161503]
0,0,2,[-9.38879727 -9.35209977]
0,0,3,[-10.28401732 -10.42757708]
0,0,4,[-9.26285133 -9.27071469]
0,0,5,[-9.53633886 -9.53363928]
0,0,6,[0.26175993 0.27017173]
0,0,7,[-9.68060793 -9.48181709]
0,0,8,[-10.3266183 -10.3734588]
0,0,9,[-9.42633034 -9.63658262]
0,0,10,[-10.1473797  -10.23891361]
0,0,11,[-9.6235024  -9.43139614]
0,0,12,[-9.73490561 -9.65223594]
0,1,1,[-10.33920431 -10.27991001]
0,1,2,[0.6647086  0.43934141]
0,1,3,[0.49695368 0.55772107]
0,1,4,[0.37617754 0.25866728]
0,1,5,[0.3560865  0.28301811]
0,1,6,[-10.47020505 -10.27858394]
0,1,7,[0.33422472 0.23140699]
0,1,8,[-9.61829834 -9.33963435]
0,1,9,[-10.42671306 -10.34696709]
0,1,10,[-9.66436871 -9.74657348]
0,1,11,[0.59045399 0.45624353]
0,1,12,[-9.51968255 -9.44244095]
0,1,13,[-10.27189895 -10.24154992]
0,1,14,[-9.51811237 -9.69717677]
0,1,15,[-9.717575   -9.50237864]
0,1,16,[-9.50324439 -9.18545212]
0,1,17,[-9.6464852  -9.34450658]
0,1,18,[-9.3575564  -9.49989543]
0,1,19,[-9.81573465 -9.68240223]
0,1,20,[-9.71061645 -9.33461753]
0,1,21,[-9.57249975 -9.27628892]
0,1,22,[0.33440963 0.57759894]
0,1,23,[-9.65897557 -9.81798864]
0,1,24,[-10.34108123 -10.38840132]
0,1,25,[-9.62681286 -9.80336988]
0,1,26,[0.75468972 0.51466361]
0,1,27,[-9.6525801  -9.51554231]
0,1,28,[-10.45899456 -10.3279393 ]
0,1,29,[-10.43033167 -10.30689723]
0,1,30,[-9.71198453 -9.72740527]
0,1,31,[0.31959648 0.43168782]
0,1,32,[-10.71226362 -10.95298468]
0,1,33,[0.46907845 0.41209374]
0,1,34,[-10.35678751 -10.41333726]
0,1,35,[-10.31479755 -10.26248381]
0,1,36,[0.52136788 0.57065044]
0,1,37,[-10.505001   -10.28955506]
0,2,1,[-9.58458381 -9.73238481]
0,2,2,[-9.40114749 -9.48945407]
0,2,3,[0.34362188 0.47033527]
0,2,4,[0.55940469 0.64862452]
0,2,5,[0.65446147 0.35301355]
0,2,6,[-9.707881   -9.20949848]
0,2,7,[-9.45860493 -9.47318086]
0,2,8,[-10.16437301 -10.22764293]
0,2,9,[-9.5767116  -9.64596307]
0,2,10,[-9.84230953 -9.77387651]
0,2,11,[-10.31694481 -10.11896286]
0,2,12,[-10.21240574 -10.26183796]
0,2,13,[-9.88444319 -9.76062298]
0,2,14,[-10.45768471 -10.46283274]
