Action,User_BS_1,User_BS_2
1,2.0,3.0
1,1.0,4.0
1,3.0,2.0
1,1.0,4.0
1,0.0,5.0
1,0.0,5.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,2.0,3.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,2.0,3.0
1,1.0,4.0
1,1.0,4.0
1,0.0,5.0
1,1.0,4.0
1,0.0,5.0
1,1.0,4.0
1,2.0,3.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,0.0,5.0
1,2.0,3.0
1,0.0,5.0
1,0.0,5.0
1,3.0,2.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,1.0,4.0
1,2.0,3.0
1,2.0,3.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,1.0,4.0
1,0.0,5.0
1,1.0,4.0
1,4.0,1.0
1,2.0,3.0
1,0.0,5.0
1,2.0,3.0
1,3.0,2.0
1,3.0,2.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,0.0,5.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,3.0,2.0
1,0.0,5.0
1,0.0,5.0
1,0.0,5.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,0.0,5.0
1,2.0,3.0
1,3.0,2.0
1,0.0,5.0
1,1.0,4.0
1,0.0,5.0
1,1.0,4.0
1,2.0,3.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,3.0,2.0
1,1.0,4.0
1,1.0,4.0
1,2.0,3.0
1,0.0,5.0
1,2.0,3.0
1,1.0,4.0
1,1.0,4.0
1,1.0,4.0
1,2.0,3.0
1,2.0,3.0
1,1.0,4.0
1,2.0,3.0
1,2.0,3.0
1,1.0,4.0
1,3.0,2.0
1,0.0,5.0
1,2.0,3.0
