Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
0,0,"[[14.0, 36.0, 1.0, 1.0, 470.5882352941176, 285.7142857142857, 228.0, 272.0]]",5,-21.98739495798319,33.5,1.5126050420168067
0,1,"[[14.0, 36.0, 1.0, 1.0, 470.5882352941176, 285.7142857142857, 228.0, 272.0]]",4,-15.936285368933305,27.5,1.5637146310666958
0,2,"[[14.0, 33.0, 1.0, 1.0, 470.5882352941176, 301.88679245283015, 228.0, 266.0]]",4,-9.879942140790742,21.5,1.6200578592092574
0,3,"[[14.0, 30.0, 1.0, 1.0, 470.5882352941176, 320.0, 228.0, 260.0]]",2,-9.323596906831852,21.0,1.6764030931681464
0,4,"[[13.0, 29.0, 1.0, 1.0, 484.8484848484849, 326.53061224489795, 226.0, 258.0]]",2,-14.265292464194886,26.0,1.7347075358051132
0,5,"[[11.0, 30.0, 1.0, 1.0, 516.1290322580645, 320.0, 222.0, 260.0]]",0,-47.02450920619437,48.0,0.9754907938056333
1,0,"[[0.0, 29.0, 0.0, 1.0, 0.0, 326.53061224489795, 0.0, 258.0]]",4,-42.975541042386986,44.0,1.0244589576130105
2,0,"[[0.0, 25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0]]",5,-38.92255892255892,40.0,1.0774410774410776
3,0,"[[0.0, 26.0, 0.0, 1.0, 0.0, 347.82608695652175, 0.0, 252.0]]",2,-36.89441680486457,38.0,1.105583195135434
4,0,"[[0.0, 26.0, 0.0, 1.0, 0.0, 347.82608695652175, 0.0, 252.0]]",0,-30.802574464900463,32.0,1.197425535099536
5,0,"[[0.0, 27.0, 0.0, 1.0, 0.0, 340.4255319148936, 0.0, 254.0]]",0,-24.697916666666668,26.0,1.302083333333333
6,0,"[[0.0, 21.0, 0.0, 1.0, 0.0, 390.2439024390244, 0.0, 242.0]]",1,0.18632729645945467,12.0,2.186327296459455
6,1,"[[7.0, 20.0, 1.0, 1.0, 592.5925925925926, 400.0, 214.0, 240.0]]",1,8.813475997686524,13.5,2.313475997686524
6,2,"[[6.0, 18.0, 1.0, 1.0, 615.3846153846154, 421.0526315789474, 212.0, 236.0]]",3,-14.487426734732464,16.0,1.512573265267536
7,0,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",5,-12.43871975019516,14.0,1.56128024980484
8,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",4,-8.260694508400931,31.0,2.7393054915990698
8,1,"[[1.0, 17.0, 1.0, 1.0, 761.9047619047619, 432.4324324324324, 202.0, 234.0]]",2,-11.087025124408303,34.0,2.9129748755916984
9,0,"[[0.0, 14.0, 1.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0]]",5,-17.575757575757578,40.0,2.4242424242424243
9,1,"[[0.0, 10.0, 1.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",2,-18.969155330591583,41.5,2.5308446694084155
9,2,"[[0.0, 9.0, 1.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",5,-20.354497354497354,43.0,2.6455026455026456
9,3,"[[0.0, 8.0, 1.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0]]",3,-4.230875735548633,17.0,2.769124264451367
9,4,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",2,-6.9523809523809526,20.0,3.0476190476190474
9,5,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",2,-8.294871794871796,21.5,3.2051282051282053
9,6,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",3,-8.294871794871796,21.5,3.2051282051282053
9,7,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",5,-8.11665195645778,21.5,3.3833480435422185
10,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",1,-5.173214064518412,18.5,3.3267859354815874
11,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",5,-2.407854050711194,15.5,3.092145949288806
12,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",1,1.9187834730769762,11.0,2.918783473076976
13,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",3,6.187189882965809,6.5,2.687189882965809
13,1,"[[14.0, 0.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0, 0.0]]",1,2.6098303610265337,10,2.609830361026533
13,2,"[[18.0, 0.0, 1.0, 0.0, 421.0526315789474, 0.0, 236.0, 0.0]]",0,-9.576124829571278,12.0,2.423875170428723
13,3,"[[21.0, 0.0, 1.0, 0.0, 390.2439024390244, 0.0, 242.0, 0.0]]",0,-15.666765335794258,18.0,2.3332346642057424
13,4,"[[24.0, 0.0, 1.0, 0.0, 363.6363636363636, 0.0, 248.0, 0.0]]",2,-21.582609004781457,24.0,2.417390995218543
13,5,"[[27.0, 0.0, 1.0, 0.0, 340.4255319148936, 0.0, 254.0, 0.0]]",1,-23.77275864232386,26.0,2.22724135767614
13,6,"[[28.0, 0.0, 1.0, 0.0, 333.33333333333326, 0.0, 256.0, 0.0]]",1,-29.766098245775094,32.0,2.233901754224905
13,7,"[[31.0, 0.0, 1.0, 0.0, 313.72549019607845, 0.0, 262.0, 0.0]]",1,-35.90728170841911,38.0,2.0927182915808857
13,8,"[[34.0, 0.0, 1.0, 0.0, 296.2962962962963, 0.0, 268.0, 0.0]]",5,-42.975541042386986,44.0,1.0244589576130105
14,0,"[[14.0, 0.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0, 0.0]]",0,-40.94957983193277,42.0,1.050420168067227
15,0,"[[8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0, 0.0]]",5,-32.83449883449883,34.0,1.1655011655011656
16,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",3,-24.697916666666668,26.0,1.302083333333333
17,0,"[[9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0, 0.0]]",2,-22.659742000335065,24.0,1.3402579996649355
18,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",2,-18.57777777777778,20.0,1.4222222222222223
19,0,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",0,-14.487426734732464,16.0,1.512573265267536
20,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",1,-12.43871975019516,14.0,1.56128024980484
21,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",4,-5.420072282457603,28.0,2.5799277175423967
21,1,"[[5.0, 13.0, 1.0, 1.0, 640.0, 484.8484848484849, 210.0, 226.0]]",1,-6.873271889400922,29.5,2.6267281105990783
21,2,"[[5.0, 12.0, 1.0, 1.0, 640.0, 500.0, 210.0, 224.0]]",5,-8.323775388291516,31.0,2.6762246117084825
21,3,"[[5.0, 11.0, 1.0, 1.0, 640.0, 516.1290322580645, 210.0, 222.0]]",1,-14.092941998602377,37.0,2.907058001397624
22,0,"[[2.0, 10.0, 1.0, 1.0, 727.2727272727273, 533.3333333333334, 204.0, 220.0]]",2,-18.310207336523128,41.5,3.1897926634768745
23,0,"[[1.0, 8.0, 1.0, 1.0, 761.9047619047619, 571.4285714285714, 202.0, 216.0]]",1,-24.015679442508713,47.5,3.4843205574912894
24,0,"[[1.0, 4.0, 1.0, 1.0, 761.9047619047619, 666.6666666666667, 202.0, 208.0]]",4,-28.434937611408202,52.0,3.5650623885918002
24,1,"[[0.0, 2.0, 1.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0]]",0,-10.934937611408198,24.5,3.5650623885918002
24,2,"[[0.0, 2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0]]",2,-8.11665195645778,21.5,3.3833480435422185
25,0,"[[0.0, 5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0]]",2,-4.230875735548633,17.0,2.769124264451367
25,1,"[[0.0, 7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0]]",2,-1.469155330591585,14.0,2.5308446694084155
25,2,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",1,-16.907854050711194,40.0,3.092145949288806
26,0,"[[0.0, 10.0, 1.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",2,-14.767857142857146,37.0,2.232142857142857
26,1,"[[0.0, 12.0, 1.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",1,-9.681113460183226,32.5,2.818886539816772
27,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",3,7.729068166856186,5,2.729068166856185
27,1,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,7.647728675125935,5,2.647728675125935
27,2,"[[17.0, 0.0, 1.0, 0.0, 432.4324324324324, 0.0, 234.0, 0.0]]",3,-7.461097461097461,10,2.538902538902539
27,3,"[[20.0, 0.0, 1.0, 0.0, 400.0, 0.0, 240.0, 0.0]]",1,-11.60754543363239,14.0,2.39245456636761
